Strike,Bid Price,Ask Price
650,216.6,220.1
655,212.1,214.5
660,207.2,210.4
665,202.3,204.9
670,197.5,200
675,192.5,195.5
680,187.8,190.4
685,183,185.5
690,178.2,180.6
695,173.5,176.7
700,168.7,171.4
705,163.9,166.5
710,159.1,162.5
715,154.4,157.8
720,150,152.7
725,145.2,148.5
730,140.3,143.3
735,136.1,138.5
740,131.5,134.5
745,127.3,129.6
750,122.8,125.2
755,118.4,120.7
760,114.1,117.1
765,109.9,112.8
770,105.4,108.6
775,101.2,104.4
780,97.4,100.3
785,93,95.5
790,89.3,91.4
795,85,87.6
800,81.4,83.7
805,77.3,79.9
810,74.1,76.2
815,70.4,72.6
820,67.1,69
825,63.8,65.5
830,60.2,62.4
835,57.2,58.8
840,54.1,55.7
845,51,52.6
850,48.1,49.6
855,45.2,46.7
860,42.5,43.9
865,40.1,41.3
870,37.4,38.3
875,35,36
880,32.7,33.9
885,30.4,31.7
890,28.3,29.5
895,26.2,27
900,24.4,25.5
905,22.6,23.6
910,20.9,21.9
915,19.2,20.1
920,17.6,18.3
925,16.3,17.1
930,14.8,15.7
935,13.7,14.4
940,12.4,13
945,11.4,12.1
950,10.4,10.9
955,9.2,10.2
960,8.4,9
965,7.8,8.2
970,7.1,7.5
975,6.4,6.7
980,5.8,6.2
985,4.9,5.9
990,4.4,5.1
995,4,4.6
1000,3.4,4.3
1010,2.8,3.4
1020,2.25,2.75
1030,1.95,2.25
1040,1.45,1.75
1050,1.1,1.5
1060,0.85,1.25
1070,0.65,1.05
1080,0.55,0.8
1090,0.45,0.65
1100,0.25,0.65
1110,0.25,0.5
1120,0.15,0.45
1130,0.15,0.35
1140,0.2,0.35
1150,0.05,1.75
