日期,收益率
2016/3/23,-0.001725
2016/3/24,-0.016937
2016/3/25,0.026371
2016/3/28,0.005824
2016/3/29,-0.020095
2016/3/30,0.06187
2016/3/31,-0.012439
2016/4/1,-0.012264
2016/4/5,0.013758
2016/4/6,-0.005296
2016/4/7,-0.007321
2016/4/8,-0.007375
2016/4/11,0.015873
2016/4/12,-0.006316
2016/4/13,0.000669
2016/4/14,-0.001003
2016/4/15,-0.001673
2016/4/18,-0.02112
2016/4/19,-0.003425
2016/4/20,-0.024055
2016/4/21,-0.014437
2016/4/22,0.01179
2016/4/25,-0.015537
2016/4/26,0.003945
2016/4/27,-0.002501
2016/4/28,-0.005731
2016/4/29,0.003963
2016/5/3,0.034446
2016/5/4,-0.003815
2016/5/5,-0.003482
2016/5/6,-0.024808
2016/5/9,-0.019706
2016/5/10,-0.000365
2016/5/11,0.034369
2016/5/12,-0.017321
2016/5/13,-0.008273
2016/5/16,0.010881
2016/5/17,-0.004665
2016/5/18,-0.016943
2016/5/19,-0.0011
2016/5/20,-0.006975
2016/5/23,0.002588
2016/5/24,-0.006637
2016/5/25,0.004083
2016/5/26,-0.002957
2016/5/27,-0.002966
2016/5/30,-0.005578
2016/5/31,0.028422
2016/6/1,-0.007636
2016/6/2,0.001832
2016/6/3,0.024872
2016/6/6,-0.009993
2016/6/7,0.00036
2016/6/8,-0.003604
2016/6/13,-0.030018
2016/6/14,-0.005593
2016/6/15,0.016873
2016/6/16,-0.010693
2016/6/17,0.002982
2016/6/20,0.020438
2016/6/21,-0.013474
2016/6/22,0.018457
2016/6/23,-0.004349
2016/6/24,-0.015653
2016/6/27,0.012204
2016/6/28,0.10011
2016/6/29,-0.017934
2016/6/30,0.00744
2016/7/1,-0.007721
2016/7/4,0.015223
2016/7/5,0.003332
2016/7/6,0.031551
2016/7/7,0.016742
2016/7/8,-0.013616
2016/7/11,0.032103
2016/7/12,0.026439
2016/7/13,0.000606
2016/7/14,-0.010297
2016/7/15,-0.002754
2016/7/18,-0.04572
2016/7/19,0.011254
2016/7/20,-0.00318
2016/7/21,0.004785
2016/7/22,-0.012063
2016/7/25,0.003856
2016/7/26,0.014405
2016/7/27,-0.006942
2016/7/28,-0.001271
2016/7/29,0.017817
2016/8/1,-0.045327
2016/8/2,-0.001965
2016/8/3,-0.006234
2016/8/4,0.005943
2016/8/5,0.002626
2016/8/8,0.012766
2016/8/9,0.001939
2016/8/10,-0.00871
2016/8/11,-0.008852
2016/8/12,0.048958
2016/8/15,0.017975
2016/8/16,-0.013631
2016/8/17,0.00157
2016/8/18,0.01317
2016/8/19,-0.016713
2016/8/22,-0.017941
2016/8/23,0.020192
2016/8/24,-0.010996
2016/8/25,-0.028272
2016/8/26,0.00523
2016/8/29,0.002276
2016/8/30,0.00292
2016/8/31,0.0055
2016/9/1,-0.008687
2016/9/2,0.010386
2016/9/5,-0.000321
2016/9/6,0.00482
2016/9/7,0.002878
2016/9/8,0.008929
2016/9/9,-0.019279
2016/9/12,-0.021914
2016/9/13,-0.002636
2016/9/14,-0.002313
2016/9/19,0.021854
2016/9/20,0.000324
2016/9/21,0.002592
2016/9/22,0.004523
2016/9/23,0.002573
2016/9/26,-0.023741
2016/9/27,0.008216
2016/9/28,-0.008801
2016/9/29,0.004604
2016/9/30,-0.000655
2016/10/10,0.022601
2016/10/11,0.001281
2016/10/12,-0.002879
2016/10/13,-0.003208
2016/10/14,-0.007081
2016/10/17,-0.002917
2016/10/18,0.007477
2016/10/19,0.006776
2016/10/20,-0.001923
2016/10/21,-0.00578
2016/10/24,0.015181
2016/10/25,0.025135
2016/10/26,-0.00869
2016/10/27,-0.002818
2016/10/28,-0.006593
2016/10/31,-0.007901
