"","000002.SZ.Open","000002.SZ.High","000002.SZ.Low","000002.SZ.Close","000002.SZ.Volume","000002.SZ.Adjusted"
"1",8.27,8.98,8.23,8.8,188816123,6.904425
"2",8.77,8.98,8.63,8.83,125616280,6.927963
"3",8.88,8.98,8.69,8.84,79128446,6.935809
"4",8.84,9.2,8.78,8.89,144721563,6.975039
"5",9,9.2,8.68,8.74,129046684,6.85735
"6",8.68,9.16,8.64,9.03,134731238,7.084882
"7",9.05,9.34,8.9,9.07,135521972,7.116266
"8",9.11,9.14,8.9,8.94,58795894,7.014268
"9",8.92,9.12,8.85,9.05,88532157,7.100574
"10",8.93,9.02,8.33,8.42,119826663,6.606279
"11",8.42,8.55,8.28,8.35,64487440,6.551358
"12",8.36,8.57,8.23,8.54,94678360,6.700431
"13",8.5,8.5,8.13,8.14,82965364,6.386594
"14",8.16,8.68,8.13,8.38,89539107,6.574896
"15",8.39,8.64,8.15,8.45,74292486,6.629817
"16",8.4,8.65,8.35,8.49,49167141,6.661201
"17",8.48,8.62,8.42,8.51,38212417,6.676893
"18",8.15,8.33,7.95,8.3,176152186,6.512128
"19",8.31,8.52,8.12,8.26,136236029,6.480744
"20",8.25,8.26,8.12,8.2,81430851,6.433669
"21",8.23,8.26,8.13,8.18,99025327,6.417977
"22",8.08,8.13,7.98,8.02,94823227,6.292442
"23",8.04,8.2,8.02,8.18,104714905,6.417977
"24",8.15,8.35,8.06,8.26,136052383,6.480744
"25",8.25,8.64,8.22,8.6,183682785,6.747508
"26",8.6,8.7,8.56,8.58,110339094,6.731815
"27",8.55,8.56,8.34,8.53,127143666,6.692585
"28",8.51,8.56,8.28,8.37,124664291,6.56705
"29",8.35,8.44,8.29,8.35,70236873,6.551358
"30",8.28,8.41,8.2,8.4,91917235,6.590587
"31",8.37,8.37,8.1,8.12,158553324,6.370901
"32",8.12,8.19,8.1,8.15,55724784,6.394439
"33",8.15,8.2,8.1,8.17,62056120,6.410131
"34",8.18,8.18,8.07,8.13,61297507,6.378747
"35",8.13,8.16,8.05,8.16,77266945,6.402285
"36",8.16,8.42,8.16,8.3,153265426,6.512128
"37",8.24,8.26,8.13,8.2,67262573,6.433669
"38",8.2,8.31,8.17,8.19,89932700,6.425823
"39",8.24,8.35,8.21,8.34,99495171,6.543512
"40",8.39,8.46,8.33,8.38,112730872,6.574896
"41",8.45,8.63,8.44,8.53,170373399,6.692585
"42",8.55,8.62,8.48,8.53,91259616,6.692585
"43",8.52,8.6,8.41,8.5,104636390,6.669046
"44",8.47,8.48,8.28,8.33,90268900,6.535666
"45",8.28,8.35,8.23,8.3,43538664,6.512128
"46",8.28,8.29,8.1,8.18,86853268,6.417977
"47",8.17,8.3,8.17,8.25,46732952,6.472899
"48",8.2,8.23,8.11,8.18,60868987,6.417977
"49",8.24,8.35,8.15,8.2,74603585,6.433669
"50",8.2,8.44,8.2,8.3,89232595,6.512128
"51",8.31,8.36,8.18,8.3,47174172,6.512128
"52",8.29,8.59,8.25,8.5,163257524,6.669046
"53",8.51,8.59,8.47,8.49,86316145,6.661201
"54",8.53,8.8,8.5,8.72,172505597,6.841658
"55",8.74,8.93,8.69,8.73,133234319,6.849504
"56",8.7,8.87,8.64,8.68,99146306,6.810274
"57",8.68,8.78,8.54,8.69,85566100,6.81812
"58",8.57,8.83,8.5,8.82,73417645,6.920117
"59",8.78,8.99,8.73,8.94,106840180,7.014268
"60",8.94,9.28,8.91,9.15,128453209,7.179032
"61",9.13,9.19,8.81,8.82,83328040,6.920117
"62",8.82,8.96,8.76,8.85,66309669,6.943655
"63",8.82,8.96,8.69,8.93,56779346,7.006423
"64",8.92,8.94,8.77,8.8,57430294,6.904425
"65",8.79,8.95,8.71,8.9,53992426,6.982883
"66",8.86,8.99,8.8,8.96,69844809,7.029961
"67",8.89,8.89,8.76,8.78,41070895,6.888733
"68",8.75,8.82,8.57,8.63,81138683,6.771044
"69",8.65,8.68,8.57,8.68,59751937,6.810274
"70",8.63,8.65,8.52,8.55,42621872,6.708277
"71",8.51,8.58,8.49,8.52,40152121,6.68474
"72",8.51,8.59,8.47,8.55,42437378,6.708277
"73",8.58,8.6,8.32,8.4,51195343,6.590587
"74",8.42,8.45,8.3,8.31,40126804,6.519974
"75",8.32,8.51,8.31,8.48,38242656,6.653355
"76",8.47,8.51,8.32,8.5,48664280,6.669046
"77",8.42,8.49,8.31,8.33,42673649,6.535666
"78",8.3,8.4,8.24,8.35,41104894,6.551358
"79",8.32,8.39,8.25,8.3,39703211,6.512128
"80",8.31,8.41,8.27,8.31,31359097,6.519974
"81",8.33,8.34,8.25,8.32,29455966,6.52782
"82",8.3,8.39,8.21,8.29,61464431,6.504282
"83",8.27,8.33,8.21,8.24,32243227,6.465052
"84",8.29,8.32,8.18,8.31,50544454,6.519974
"85",8.26,8.44,8.25,8.37,57176877,6.56705
"86",8.33,8.46,8.32,8.4,35009527,6.590587
"87",8.4,8.45,8.36,8.41,24012345,6.598433
"88",8.41,8.45,8.24,8.26,41213817,6.480744
"89",8.28,8.31,8.21,8.24,23770856,6.465052
"90",8.21,8.27,7.99,8.03,50020248,6.300288
"91",8.03,8.1,7.98,8.03,40881526,6.300288
"92",8.01,8.03,7.85,7.87,47083976,6.174753
"93",7.95,7.99,7.88,7.9,30353059,6.198291
"94",7.86,7.94,7.81,7.9,34412955,6.277756
"95",7.88,7.9,7.75,7.8,28315785,6.198291
"96",7.83,7.89,7.61,7.84,37074583,6.230077
"97",7.82,7.84,7.73,7.82,33041433,6.214184
"98",7.74,7.86,7.64,7.72,37879939,6.134718
"99",7.72,7.85,7.7,7.79,28759071,6.190345
"100",7.77,7.84,7.74,7.81,20456788,6.206237
"101",7.83,8.14,7.81,8.1,75584171,6.436687
"102",8.07,8.08,7.9,7.9,30367776,6.277756
"103",7.95,8.1,7.95,8,41250693,6.357221
"104",7.95,7.95,7.83,7.9,24327945,6.277756
"105",7.9,8.39,7.9,8.17,91098716,6.492312
"106",8.15,8.18,8,8.07,43073250,6.412847
"107",7.95,8.11,7.95,7.99,32628920,6.349274
"108",7.99,8.21,7.98,8.05,45693242,6.396955
"109",8.07,8.23,8.06,8.18,52719516,6.500259
"110",8.16,8.38,8.16,8.27,68590542,6.571778
"111",8.29,8.36,8.12,8.22,36582620,6.532045
"112",8.22,8.31,8.15,8.27,37954800,6.571778
"113",8.25,8.5,8.23,8.38,75751243,6.65919
"114",8.39,8.46,8.19,8.29,60463553,6.58767
"115",8.3,8.35,8.15,8.31,48384892,6.603564
"116",8.26,8.32,8.23,8.28,32083025,6.579724
"117",8.29,8.52,8.2,8.45,87349422,6.714815
"118",8.43,8.81,8.4,8.68,127799867,6.897585
"119",8.73,8.97,8.68,8.71,83262939,6.921425
"120",8.71,9.02,8.71,8.84,147053064,7.02473
"121",8.85,8.88,8.71,8.82,60954069,7.008837
"122",8.84,8.98,8.55,8.77,84665010,6.969104
"123",8.73,8.9,8.73,8.82,50985292,7.008837
"124",8.75,8.78,8.6,8.75,42693943,6.953211
