"","000063.SZ.Open","000063.SZ.High","000063.SZ.Low","000063.SZ.Close","000063.SZ.Volume","000063.SZ.Adjusted"
"1",15.8738,15.9433,15.4919,15.7407,38024605,14.781545
"2",15.706,15.735,15.3357,15.3993,46982373,14.460948
"3",15.3935,15.6597,15.3646,15.4282,19262837,14.488086
"4",15.4514,15.6829,15.2373,15.5382,24319001,14.591384
"5",15.5382,15.9664,15.4745,15.625,47240745,14.672894
"6",15.5961,16.192101,15.5208,15.7407,46309933,14.781545
"7",15.7986,15.8333,15.4051,15.6424,19318332,14.689235
"8",15.6887,15.7292,15.4225,15.4861,12917303,14.542459
"9",15.4977,15.5613,15.1042,15.2025,20523561,14.276139
"10",15.1505,15.1505,14.294,14.3982,31224257,13.520849
"11",14.4097,14.5718,14.1782,14.3287,18099119,13.455584
"12",14.3518,14.5255,14.1782,14.4734,21829632,13.591468
"13",14.5197,14.5544,13.831,13.86,24001955,13.015444
"14",13.8773,13.9873,13.5706,13.7095,28041875,12.874115
"15",13.7847,14.3982,13.7616,14.1204,32044849,13.259977
"16",14.1782,14.2072,13.831,13.8484,20867380,13.004551
"17",14.0046,14.265,13.8831,14.1204,11645949,13.259977
"18",14.0451,14.7222,13.8889,14.6123,31234810,13.721903
"19",14.8322,15.0174,14.7222,14.7975,29571245,13.895818
"20",14.7859,15.4514,14.5255,15.2662,29043770,14.335958
"21",15.3819,15.3819,14.9768,15.0637,14207676,14.145798
"22",15.0232,15.8854,14.9768,15.6829,46570440,14.727267
"23",15.6539,16.082199,15.6018,15.9143,46421421,14.944566
"24",15.9433,16.3657,15.9433,16.1227,44692515,15.140266
"25",16.1227,16.7824,16.1227,16.6551,55194133,15.640225
"26",16.695601,16.822901,16.388901,16.4062,54054727,15.406492
"27",16.5509,16.822901,16.412001,16.799801,47761725,15.776109
"28",17.1875,17.934,16.6782,16.7824,64198793,15.759769
"29",16.7882,16.9676,16.1863,16.5278,37475193,15.520681
"30",16.394699,18.182899,16.2731,18.182899,95468905,17.07493
"31",18.4606,18.8426,17.881901,18.1134,119375716,17.009663
"32",17.9398,18.692101,17.667801,18.506901,59324075,17.379187
"33",18.287001,18.287001,17.5868,17.9224,39233378,16.830303
"34",17.766199,18.1887,17.5984,17.771999,31702045,16.689068
"35",17.8241,18.8657,17.8241,18.692101,56244739,17.553101
"36",18.674801,18.7384,17.986099,18.3218,41755031,17.205362
"37",18.2176,18.2176,17.638901,18.084499,40113405,16.982523
"38",17.9977,18.4491,17.5058,17.8241,34603934,16.737991
"39",17.8067,18.1019,17.4711,18.0093,35791765,16.911907
"40",18.171301,18.316,17.6157,18.0208,50139670,16.922707
"41",17.9977,18.055599,17.5637,17.881901,43960852,16.792271
"42",17.934,18.6343,17.737301,18.518499,56439476,17.390079
"43",18.4317,18.807899,18.258101,18.396999,36063099,17.275982
"44",18.287001,18.587999,17.9282,18.3391,37143362,17.221611
"45",18.4086,19.357599,18.200199,19.357599,48616592,18.178049
"46",19.114599,19.2188,18.4028,18.7558,51648332,17.612919
"47",18.7789,19.6238,18.4028,19.548599,49942855,18.357409
"48",19.1724,19.768499,18.576401,18.576401,46219461,17.444452
"49",22.6042,22.756901,21.875,21.944401,40409054,20.607224
"50",21.944401,22.2083,21.0972,21.326401,28286948,20.026882
"51",21.3958,21.75,21.111099,21.5972,23316440,20.281179
