"","monthly.returns"
"1",-0.0382769091206894
"2",0.224410855353657
"3",0.114551007401469
"4",-0.0806641290626066
"5",-0.0576521970677917
"6",0.0881122130310503
"7",-0.0826013634877023
"8",-0.137372596681268
"9",0.0134026522195125
"10",-0.0576698412698413
"11",-0.0247074122236671
"12",-0.0270604490500864
"13",-0.124260649137631
"14",0.15878961835032
"15",-0.0419824093704737
"16",0.0237370085526267
"17",-0.0921543587292302
"18",-0.0857917485265226
"19",-0.182662701039258
"20",-0.130586548847169
"21",0.124999546371151
"22",-0.258064516129032
"23",-0.0640101449275363
"24",0.258065165452989
"25",0.116923076923077
"26",-0.100091460055096
"27",0.142856268221931
"28",0.0125003616072719
"29",0.113756613756614
"30",0.00950118764845609
"31",0.207058823529412
"32",0.0656296296296297
"33",0.0121902141702093
"34",-0.0855399651565425
"35",0.0737786561264822
"36",-0.198155087497147
"37",0.0152960511214961
"38",-0.00904298129007164
"39",-0.0387833879342597
"40",0.0427216541824498
"41",-0.00227618293226994
"42",-0.00228137576083887
"43",0.0571648084292939
"44",0.00648884351504986
"45",0.0859601316909218
"46",0.00264380644803808
"47",0.0315788642661468
"48",0.151782776064347
"49",0.0620132890365448
"50",0.071950160480001
"51",0.0632335240010082
"52",0.424972689894438
"53",-0.00866778641128285
"54",-0.228948453130708
"55",0.00697016888673851
"56",-0.161661661661662
"57",-0.0686567164179105
"58",0.144230769230769
"59",-0.0207282913165266
"60",0.0657894164759727
